CONTRACT,TENURE,TECHSUPPORT,INTERNETSERVICE,ONLINESECURITY,DEVICEPROTECTION,MONTHLYCHARGES,PAYMENTMETHOD,STREAMINGMOVIES,ONLINEBACKUP,CHURN
Month-to-month,23,No,Fiber optic,Yes,No,75.0,Bank transfer (automatic),No,No,0
Two year,64,No internet service,No,No internet service,No internet service,20.2,Mailed check,No internet service,No internet service,0
Two year,57,No internet service,No,No internet service,No internet service,19.6,Mailed check,No internet service,No internet service,0
Month-to-month,1,No,Fiber optic,No,No,70.45,Mailed check,No,No,1
Two year,72,Yes,DSL,Yes,Yes,88.05,Credit card (automatic),Yes,Yes,0
Month-to-month,8,Yes,DSL,Yes,No,71.15,Electronic check,Yes,No,1
Two year,61,No,Fiber optic,No,No,101.05,Bank transfer (automatic),Yes,Yes,0
One year,64,No,Fiber optic,Yes,No,84.3,Credit card (automatic),No,Yes,0
Two year,71,No internet service,No,No internet service,No internet service,23.95,Bank transfer (automatic),No internet service,No internet service,0
Two year,65,Yes,Fiber optic,Yes,No,99.05,Credit card (automatic),No,Yes,0
One year,3,No internet service,No,No internet service,No internet service,19.6,Mailed check,No internet service,No internet service,0
Month-to-month,1,No,DSL,No,No,45.65,Electronic check,No,No,1
One year,30,No,DSL,No,Yes,64.5,Credit card (automatic),No,Yes,0
Month-to-month,15,Yes,DSL,No,Yes,69.5,Mailed check,Yes,Yes,0
Month-to-month,8,Yes,DSL,No,No,68.55,Electronic check,Yes,No,0
Month-to-month,7,No,Fiber optic,No,No,95.0,Mailed check,Yes,No,1
One year,70,No,Fiber optic,Yes,Yes,108.15,Credit card (automatic),Yes,Yes,0
Two year,62,Yes,DSL,Yes,Yes,86.1,Electronic check,Yes,Yes,0
Month-to-month,6,No internet service,No,No internet service,No internet service,19.7,Mailed check,No internet service,No internet service,0
Month-to-month,14,No,Fiber optic,No,No,80.9,Bank transfer (automatic),Yes,No,0
Month-to-month,22,No,Fiber optic,No,No,84.15,Bank transfer (automatic),No,No,0
One year,22,No internet service,No,No internet service,No internet service,20.15,Mailed check,No internet service,No internet service,0
Two year,16,No,DSL,Yes,Yes,64.25,Mailed check,No,No,0
Two year,10,No internet service,No,No internet service,No internet service,25.7,Bank transfer (automatic),No internet service,No internet service,0
Month-to-month,13,No,DSL,Yes,No,56.0,Electronic check,No,Yes,0
Month-to-month,20,No,Fiber optic,Yes,No,82.4,Electronic check,No,No,1
Month-to-month,2,No,Fiber optic,No,No,69.7,Electronic check,No,No,0
Two year,53,Yes,DSL,No,Yes,73.9,Bank transfer (automatic),Yes,Yes,0
One year,11,No internet service,No,No internet service,No internet service,20.6,Mailed check,No internet service,No internet service,0
Two year,69,No internet service,No,No internet service,No internet service,19.9,Mailed check,No internet service,No internet service,0
Month-to-month,4,No,Fiber optic,No,No,70.9,Bank transfer (automatic),No,No,1
Two year,72,Yes,DSL,Yes,Yes,89.05,Bank transfer (automatic),Yes,Yes,0
Month-to-month,58,No,DSL,No,Yes,45.3,Electronic check,Yes,Yes,1
Month-to-month,16,No internet service,No,No internet service,No internet service,20.4,Electronic check,No internet service,No internet service,0
One year,43,Yes,Fiber optic,Yes,Yes,84.25,Bank transfer (automatic),No,No,0
Month-to-month,2,Yes,Fiber optic,No,Yes,104.4,Electronic check,Yes,No,1
Two year,14,Yes,DSL,No,Yes,81.95,Mailed check,Yes,Yes,0
One year,53,No,Fiber optic,No,Yes,94.85,Bank transfer (automatic),Yes,No,1
One year,32,No internet service,No,No internet service,No internet service,20.55,Bank transfer (automatic),No internet service,No internet service,0
Month-to-month,34,No internet service,No,No internet service,No internet service,24.7,Electronic check,No internet service,No internet service,0
Month-to-month,15,No,Fiber optic,No,No,74.45,Mailed check,No,No,1
Month-to-month,7,No,Fiber optic,Yes,No,76.45,Bank transfer (automatic),No,No,1
Month-to-month,15,No,Fiber optic,No,Yes,105.35,Bank transfer (automatic),Yes,Yes,0
One year,61,No internet service,No,No internet service,No internet service,20.55,Credit card (automatic),No internet service,No internet service,0
Month-to-month,1,No,DSL,No,No,29.95,Bank transfer (automatic),No,Yes,1
Month-to-month,1,No,DSL,No,No,45.3,Mailed check,No,No,0
Month-to-month,8,No,Fiber optic,No,No,84.5,Bank transfer (automatic),Yes,No,1
One year,33,No,DSL,Yes,Yes,74.75,Credit card (automatic),Yes,No,0
Month-to-month,13,No,Fiber optic,No,Yes,79.25,Electronic check,No,Yes,1
Month-to-month,1,No,DSL,No,No,24.8,Electronic check,No,No,1
Month-to-month,20,No,DSL,No,No,51.8,Mailed check,No,Yes,0
Month-to-month,3,Yes,DSL,No,No,30.4,Electronic check,No,No,0
One year,13,No internet service,No,No internet service,No internet service,19.65,Electronic check,No internet service,No internet service,0
Month-to-month,40,No,DSL,No,No,56.6,Credit card (automatic),No,Yes,0
One year,43,Yes,DSL,Yes,No,71.9,Credit card (automatic),Yes,No,0
Month-to-month,6,No,Fiber optic,No,Yes,91.0,Electronic check,Yes,Yes,1
Two year,69,No internet service,No,No internet service,No internet service,19.75,Bank transfer (automatic),No internet service,No internet service,0
Two year,72,No,Fiber optic,Yes,Yes,109.7,Credit card (automatic),Yes,Yes,0
Two year,59,No internet service,No,No internet service,No internet service,19.3,Credit card (automatic),No internet service,No internet service,0
Month-to-month,20,Yes,Fiber optic,Yes,No,96.55,Electronic check,No,Yes,0
Two year,24,No internet service,No,No internet service,No internet service,24.1,Bank transfer (automatic),No internet service,No internet service,0
Month-to-month,59,Yes,Fiber optic,No,Yes,111.35,Electronic check,Yes,Yes,0
Two year,72,Yes,Fiber optic,No,Yes,112.25,Bank transfer (automatic),Yes,Yes,0
Month-to-month,1,No internet service,No,No internet service,No internet service,20.75,Mailed check,No internet service,No internet service,0
One year,27,Yes,Fiber optic,Yes,No,101.9,Credit card (automatic),Yes,No,0
Month-to-month,14,Yes,Fiber optic,No,No,80.05,Credit card (automatic),No,Yes,0
Two year,71,No,Fiber optic,Yes,Yes,105.55,Electronic check,Yes,No,0
Month-to-month,13,No,Fiber optic,No,No,78.3,Credit card (automatic),No,No,0
Month-to-month,44,No,Fiber optic,No,No,68.85,Credit card (automatic),No,No,0
One year,33,Yes,Fiber optic,No,No,79.95,Bank transfer (automatic),No,Yes,0
Two year,72,Yes,DSL,Yes,Yes,55.45,Credit card (automatic),Yes,Yes,0
Month-to-month,1,No,Fiber optic,No,No,79.9,Electronic check,Yes,No,1
Month-to-month,19,Yes,Fiber optic,Yes,Yes,106.6,Electronic check,Yes,No,1
One year,64,Yes,Fiber optic,No,Yes,102.45,Credit card (automatic),Yes,Yes,0
Month-to-month,2,No,DSL,No,No,46.0,Credit card (automatic),No,No,1
Month-to-month,1,No,DSL,No,No,25.25,Electronic check,No,No,0
Two year,61,No internet service,No,No internet service,No internet service,19.75,Mailed check,No internet service,No internet service,0
One year,29,No internet service,No,No internet service,No internet service,20.0,Electronic check,No internet service,No internet service,0
Month-to-month,23,No,Fiber optic,No,No,86.8,Electronic check,Yes,No,0
Month-to-month,57,No,DSL,Yes,Yes,58.75,Bank transfer (automatic),Yes,Yes,0
Two year,72,Yes,DSL,Yes,Yes,45.25,Credit card (automatic),No,Yes,0
Two year,66,Yes,DSL,Yes,Yes,56.6,Bank transfer (automatic),No,Yes,0
Two year,65,Yes,DSL,No,Yes,84.2,Bank transfer (automatic),Yes,Yes,0
Month-to-month,8,No,Fiber optic,No,No,80.0,Bank transfer (automatic),No,No,0
Month-to-month,4,No,Fiber optic,No,No,70.15,Electronic check,No,No,1
Two year,71,No internet service,No,No internet service,No internet service,24.75,Bank transfer (automatic),No internet service,No internet service,0
One year,1,No internet service,No,No internet service,No internet service,20.2,Electronic check,No internet service,No internet service,0
Month-to-month,4,Yes,DSL,No,No,50.05,Mailed check,No,No,1
One year,12,No internet service,No,No internet service,No internet service,19.35,Bank transfer (automatic),No internet service,No internet service,0
One year,24,No,DSL,Yes,No,50.6,Mailed check,Yes,No,0
One year,31,Yes,DSL,Yes,Yes,81.15,Mailed check,Yes,No,0
Month-to-month,1,No,DSL,No,No,55.2,Mailed check,No,No,1
Month-to-month,30,Yes,Fiber optic,No,No,89.9,Credit card (automatic),Yes,No,0
Two year,47,Yes,DSL,Yes,No,85.3,Credit card (automatic),Yes,Yes,0
Two year,54,Yes,Fiber optic,Yes,No,108.0,Credit card (automatic),Yes,Yes,0
Month-to-month,50,Yes,Fiber optic,Yes,No,93.5,Credit card (automatic),Yes,Yes,0
Month-to-month,1,No,Fiber optic,Yes,No,84.6,Mailed check,Yes,No,1
Two year,72,No internet service,No,No internet service,No internet service,20.25,Credit card (automatic),No internet service,No internet service,0
Month-to-month,29,No internet service,No,No internet service,No internet service,25.15,Electronic check,No internet service,No internet service,0
Month-to-month,2,No,DSL,No,No,54.4,Mailed check,No,Yes,1
Two year,10,Yes,DSL,No,No,29.6,Mailed check,No,No,0
Month-to-month,18,No,Fiber optic,No,No,73.15,Electronic check,No,No,0
Month-to-month,11,No,Fiber optic,No,No,95.0,Electronic check,Yes,Yes,1
Two year,16,No internet service,No,No internet service,No internet service,19.75,Mailed check,No internet service,No internet service,0
Two year,72,Yes,DSL,No,Yes,86.6,Bank transfer (automatic),Yes,Yes,0
Two year,72,Yes,Fiber optic,No,Yes,109.2,Bank transfer (automatic),Yes,Yes,0
One year,41,Yes,DSL,Yes,No,74.7,Credit card (automatic),Yes,No,0
Month-to-month,65,No,Fiber optic,Yes,Yes,94.4,Electronic check,Yes,Yes,0
Month-to-month,13,No,DSL,No,Yes,54.8,Electronic check,No,Yes,0
Month-to-month,4,No,Fiber optic,Yes,No,75.35,Electronic check,No,No,0
One year,41,No,DSL,No,Yes,65.0,Mailed check,Yes,No,0
Month-to-month,15,No,Fiber optic,No,No,74.4,Electronic check,No,Yes,1
Month-to-month,1,No,DSL,Yes,No,48.55,Mailed check,No,No,1
One year,42,No,Fiber optic,Yes,Yes,99.0,Electronic check,Yes,Yes,0
One year,51,No,Fiber optic,Yes,Yes,93.5,Electronic check,No,Yes,0
Month-to-month,2,No,Fiber optic,No,No,70.4,Electronic check,No,No,1
Month-to-month,1,No,DSL,No,No,40.2,Electronic check,No,Yes,1
One year,32,Yes,DSL,No,Yes,83.7,Credit card (automatic),Yes,Yes,0
Month-to-month,10,No internet service,No,No internet service,No internet service,19.85,Mailed check,No internet service,No internet service,0
Two year,67,Yes,DSL,No,Yes,59.55,Electronic check,Yes,Yes,0
Two year,61,Yes,Fiber optic,Yes,Yes,115.1,Credit card (automatic),Yes,Yes,0
One year,50,Yes,Fiber optic,Yes,Yes,114.35,Credit card (automatic),Yes,Yes,0
Month-to-month,2,No,DSL,No,No,44.6,Credit card (automatic),No,No,1
Month-to-month,29,No,DSL,Yes,Yes,45.0,Electronic check,Yes,No,0
Month-to-month,3,No,DSL,No,Yes,41.15,Electronic check,Yes,No,1
Month-to-month,13,No,Fiber optic,No,Yes,106.9,Electronic check,Yes,Yes,1
Month-to-month,57,No,Fiber optic,No,No,89.85,Electronic check,Yes,Yes,0
Two year,31,Yes,DSL,Yes,No,49.85,Bank transfer (automatic),Yes,Yes,0
One year,45,Yes,Fiber optic,Yes,Yes,113.3,Mailed check,Yes,Yes,0
Two year,61,Yes,DSL,Yes,Yes,88.1,Mailed check,Yes,Yes,0
Two year,50,No internet service,No,No internet service,No internet service,24.9,Bank transfer (automatic),No internet service,No internet service,0
Month-to-month,19,Yes,Fiber optic,Yes,No,105.0,Mailed check,Yes,Yes,0
Two year,59,No internet service,No,No internet service,No internet service,19.35,Mailed check,No internet service,No internet service,1
Two year,71,No internet service,No,No internet service,No internet service,24.25,Credit card (automatic),No internet service,No internet service,0
Month-to-month,16,Yes,Fiber optic,No,No,94.45,Electronic check,Yes,No,1
Two year,57,Yes,DSL,Yes,No,59.75,Electronic check,No,Yes,0
Month-to-month,1,No,DSL,No,No,24.8,Bank transfer (automatic),No,No,1
Month-to-month,20,Yes,Fiber optic,No,No,107.05,Electronic check,Yes,Yes,0
Month-to-month,1,No,Fiber optic,No,No,70.6,Mailed check,No,No,1
Month-to-month,5,Yes,Fiber optic,No,No,85.4,Electronic check,No,Yes,1
Month-to-month,52,No,Fiber optic,No,Yes,105.05,Electronic check,Yes,Yes,1
Month-to-month,21,No,DSL,Yes,No,64.95,Bank transfer (automatic),Yes,Yes,0
Month-to-month,14,Yes,DSL,No,Yes,55.0,Electronic check,Yes,No,0
Month-to-month,5,No,DSL,No,No,50.55,Bank transfer (automatic),No,Yes,0
Month-to-month,6,No,DSL,Yes,No,55.15,Mailed check,No,Yes,0
Month-to-month,10,No,DSL,No,No,51.2,Electronic check,No,Yes,0
Month-to-month,1,No internet service,No,No internet service,No internet service,25.4,Mailed check,No internet service,No internet service,0
Month-to-month,68,No,DSL,Yes,No,54.45,Mailed check,No,No,0
Month-to-month,18,No,Fiber optic,No,Yes,95.15,Mailed check,Yes,No,1
One year,22,No,Fiber optic,No,No,76.0,Credit card (automatic),No,No,0
Month-to-month,20,No,DSL,No,No,44.35,Electronic check,No,No,0
Month-to-month,1,No,Fiber optic,No,No,70.0,Electronic check,No,No,1
Month-to-month,8,No,Fiber optic,No,No,74.5,Electronic check,No,Yes,1
Month-to-month,10,No,DSL,No,No,44.85,Credit card (automatic),No,No,1
Month-to-month,24,No,Fiber optic,No,No,76.1,Electronic check,No,No,1
One year,35,No,DSL,Yes,Yes,61.2,Mailed check,No,Yes,0
One year,23,Yes,Fiber optic,No,Yes,86.8,Mailed check,No,Yes,0
Month-to-month,6,No,Fiber optic,No,No,89.35,Electronic check,Yes,No,0
Month-to-month,12,No internet service,No,No internet service,No internet service,19.7,Mailed check,No internet service,No internet service,0
Month-to-month,1,No internet service,No,No internet service,No internet service,20.25,Mailed check,No internet service,No internet service,0
Two year,71,No,Fiber optic,No,Yes,76.05,Electronic check,No,No,0
Month-to-month,35,No,Fiber optic,No,Yes,100.8,Electronic check,Yes,No,0
Month-to-month,40,No,DSL,No,Yes,74.55,Electronic check,Yes,No,0
Month-to-month,1,No,Fiber optic,Yes,No,73.6,Mailed check,No,No,1
One year,23,No,DSL,No,No,64.9,Bank transfer (automatic),Yes,No,0
Month-to-month,4,No,Fiber optic,No,No,95.45,Electronic check,Yes,No,1
Month-to-month,4,Yes,Fiber optic,No,Yes,90.4,Electronic check,Yes,No,0
Two year,68,Yes,DSL,No,Yes,60.3,Credit card (automatic),Yes,Yes,0
Month-to-month,38,No,Fiber optic,No,No,81.85,Mailed check,No,Yes,0
Two year,52,No internet service,No,No internet service,No internet service,24.8,Mailed check,No internet service,No internet service,0
Month-to-month,32,No,Fiber optic,No,No,74.9,Electronic check,No,No,1
Two year,29,Yes,DSL,No,Yes,75.55,Mailed check,Yes,No,0
Month-to-month,38,No,Fiber optic,No,No,101.15,Electronic check,Yes,Yes,0
One year,48,No,DSL,Yes,Yes,78.75,Credit card (automatic),Yes,No,0
Month-to-month,1,No internet service,No,No internet service,No internet service,19.25,Bank transfer (automatic),No internet service,No internet service,0
Month-to-month,22,Yes,Fiber optic,Yes,No,89.05,Electronic check,Yes,No,0
Two year,43,Yes,Fiber optic,Yes,Yes,115.05,Credit card (automatic),Yes,Yes,0
Month-to-month,5,No,Fiber optic,No,No,69.35,Electronic check,No,No,0
Month-to-month,5,No,Fiber optic,No,No,80.6,Electronic check,No,No,1
One year,51,Yes,Fiber optic,Yes,No,110.05,Credit card (automatic),Yes,Yes,0
Two year,71,No internet service,No,No internet service,No internet service,19.9,Credit card (automatic),No internet service,No internet service,0
One year,38,Yes,DSL,Yes,No,80.3,Credit card (automatic),Yes,Yes,1
Month-to-month,24,No,Fiber optic,No,Yes,93.15,Electronic check,Yes,No,1
Month-to-month,35,Yes,Fiber optic,No,No,91.5,Credit card (automatic),No,No,0
One year,54,Yes,DSL,Yes,No,82.45,Bank transfer (automatic),Yes,Yes,1
Two year,72,Yes,DSL,No,Yes,60.0,Electronic check,Yes,Yes,0
Month-to-month,1,No,DSL,No,No,44.8,Electronic check,No,No,0
One year,9,No,DSL,Yes,No,48.6,Mailed check,No,No,0
Two year,69,Yes,DSL,Yes,No,60.05,Bank transfer (automatic),Yes,Yes,0
